uuid,departmentName,departmentManager,parentId
1,珠海华润银行,,0
ZongHang,总行,,1
GuangZhou,广州分行,,1
HuiZhou,惠州分行,,1
FoShan,佛山分行,,1
2000333,广州分行公司金融部,,GuangZhou
2000334,广州分行个人金融部,,GuangZhou
ZhongShan,中山分行,,1
2000368,中山分行财务与运营部,,ZhongShan
ShenZhen,深圳分行,,1
2000005,深圳分行安全保卫部,,ShenZhen
ZhuHai,珠海分行,,1
2000042,珠海分行安全保卫部,,ZhuHai
2000279,深圳分行宝安支行,,ShenZhen
DongGuan,东莞分行,,1
2000327,东莞分行长安支行,,DongGuan
1000042,总行办公室,,ZongHang
2000314,深圳分行宝体支行,,ShenZhen
1000180,深圳分行财务会计部,,ShenZhen
1000162,珠海分行白蕉支行,,ZhuHai
2000123,东莞分行公司金融部,,DongGuan
2000244,惠州分行个人金融部,,HuiZhou
2000391,惠州分行个人金融部麦地社区支行,,2000244
1000221,珠海分行办公室,,ZhuHai
1000181,深圳分行法律合规部,,ShenZhen
2000033,中山分行法律合规部,,ZhongShan
2000138,东莞分行分行营业部,,DongGuan
2000060,佛山分行个人金融部,,FoShan
2000338,广州分行风险管理部,,GuangZhou
1000185,深圳分行分行营业部,,ShenZhen
2000125,东莞分行财务与运营部,,DongGuan
1000179,深圳分行风险管理部,,ShenZhen
2000006,深圳分行福田支行,,ShenZhen
2000037,中山分行分行营业部,,ZhongShan
1000175,深圳分行个人金融部,,ShenZhen
2000061,佛山分行财务与运营部,,FoShan
1000124,珠海分行北岭支行（综合）,,ZhuHai
2000031,中山分行风险管理部,,ZhongShan
2000124,东莞分行个人金融部,,DongGuan
2000308,东莞分行个人金融部南城区东泰社区支行,,2000124
2000396,深圳分行个人金融部百仕达社区支行,,1000175
2000222,总行办公室董事会秘书处,,1000042
2000221,总行办公室品宣服务中心,,1000042
2000285,深圳分行个人金融部创新路社区支行,,1000175
2000142,深圳分行个人金融部创业社区支行,,1000175
1000081,珠海分行碧涛支行（零售）,,ZhuHai
2000020,深圳分行个人金融部个贷中心,,1000175
2000218,总行办公室文秘中心,,1000042
2000219,总行办公室战略规划中心,,1000042
2000209,总行村镇银行发展部,,ZongHang
2000265,总行地产金融业务拓展部,,ZongHang
2000228,总行法律合规部,,ZongHang
2000390,总行法律合规部反洗钱集中处理中心,,2000228
2000341,广州分行营业部,,GuangZhou
2000282,深圳分行个人金融部公园里社区支行,,1000175
2000267,总行分销及快消品金融业务拓展部,,ZongHang
2000226,深圳分行个人金融部聚宝社区支行,,1000175
1000034,总行风险管理部,,ZongHang
1000159,珠海分行朝南支行,,ZhuHai
2000235,深圳分行个人金融部龙福社区支行,,1000175
2000378,东莞分行法律合规部,,DongGuan
1000161,珠海分行城南支行,,ZhuHai
2000081,总行风险管理部放款管理中心,,1000034
2000029,中山分行个人金融部,,ZhongShan
1000150,珠海分行斗门一级支行,,ZhuHai
2000329,中山分行个人金融部中山开发区万家社区支行,,2000029
2000166,深圳分行个人金融部梅陇社区支行,,1000175
2000383,总行风险管理部公司信贷管理部,,1000034
1000038,总行风险管理部全面风险管理部,,1000034
2000280,深圳分行个人金融部民乐社区支行,,1000175
2000384,总行风险管理部信用风险管理部,,1000034
2000271,总行个人金融部,,ZongHang
2000275,总行个人金融部财富管理部,,2000271
2000319,总行个人金融部基础客群部,,2000271
2000417,总行个人金融部渠道管理部,,2000271
1000156,珠海分行斗门一级支行营业厅,,ZhuHai
2000080,珠海分行法律合规部,,ZhuHai
1000066,珠海分行分行营业部,,ZhuHai
2000322,总行个人金融部消费者权益保护部,,2000271
2000419,总行个人金融部远程银行中心,,2000271
2000323,总行个人信贷部,,ZongHang
1000065,珠海分行风险管理部,,ZhuHai
2000422,总行个人信贷部产品经营部,,2000323
1000111,珠海分行富华支行（零售）,,ZhuHai
1000158,珠海分行港霞支行,,ZhuHai
2000420,总行个人信贷部风险管理部,,2000323
2000274,深圳分行个人金融部民治社区支行,,1000175
1000063,珠海分行个人金融部,,ZhuHai
2000144,珠海分行个人金融部凤凰北万家支行(社区),,1000063
1000195,珠海分行个人金融部拱北个贷中心,,1000063
1000194,珠海分行个人金融部吉大个贷中心,,1000063
2000216,珠海分行个人金融部南屏万家支行(社区),,1000063
2000143,珠海分行个人金融部前山万家支行(社区）,,1000063
2000009,珠海分行个人金融部香洲个贷中心,,1000063
2000145,珠海分行个人金融部新香洲万家支行(社区),,1000063
1000138,珠海分行个人金融部招商花园城支行(社区),,1000063
1000062,珠海分行公司金融部,,ZhuHai
2000424,珠海分行公司金融部国际业务部,,1000062
2000421,总行个人信贷部个贷运营部,,2000323
1000119,珠海分行拱北支行（旗舰）,,ZhuHai
2000418,总行个人信贷部营销管理部,,2000323
1000003,总行公司金融部,,ZongHang
2000304,横琴分行,,ZhuHai
2000354,横琴分行营业部,,2000304
2000405,总行公司金融部公司产品管理部,,1000003
1000147,珠海分行海泉湾支行,,ZhuHai
1000061,珠海分行行长室,,ZhuHai
1000093,珠海分行胡湾支行（旗舰）,,ZhuHai
2000264,总行公司金融部战略客户部,,1000003
2000259,总行公司金融部综合管理部,,1000003
1000002,总行行长室,,ZongHang
2000208,总行行政安保部,,ZongHang
1000064,珠海分行机构业务部,,ZhuHai
2000224,总行行政安保部采购中心,,2000208
2000223,总行行政安保部行政后勤中心,,2000208
2000389,深圳分行个人金融部侨香社区支行,,1000175
2000364,总行机构业务部,,ZongHang
1000134,珠海分行吉大支行（旗舰）,,ZhuHai
2000227,深圳分行个人金融部人民社区支行,,1000175
2000373,总行机构业务部财政业务拓展一部,,2000364
2000004,珠海分行计划财务部,,ZhuHai
2000379,总行集团项目组,,ZongHang
1000039,总行计划财务部,,ZongHang
2000406,总行计划财务部财务管理部,,1000039
2000410,总行计划财务部财务信息中心,,1000039
2000062,佛山分行风险管理部,,FoShan
2000311,深圳分行个人金融部水径社区支行,,1000175
2000126,东莞分行风险管理部,,DongGuan
2000312,深圳分行个人金融部太古城社区支行,,1000175
2000397,东莞分行机构业务部,,DongGuan
2000407,总行计划财务部会计管理部,,1000039
1000136,珠海分行将军山支行（综合）,,ZhuHai
2000328,珠海分行金融市场部珠海分部,,ZhuHai
1000139,珠海分行金湾一级支行,,ZhuHai
1000145,珠海分行金湾一级支行营业厅,,ZhuHai
1000107,珠海分行敬业支行（零售）,,ZhuHai
2000355,横琴分行公司业务一部,,2000304
2000409,总行计划财务部司库管理部,,1000039
2000408,总行计划财务部资产负债管理部,,1000039
2000171,总行交易银行部,,ZongHang
2000175,总行交易银行部产品协同部,,2000171
1000099,珠海分行九悦支行（零售）,,ZhuHai
2000173,总行交易银行部公司产品开发部,,2000171
2000291,深圳分行个人金融部桃源社区支行,,1000175
2000172,总行交易银行部供应链金融部,,2000171
1000121,珠海分行口岸支行（零售）,,ZhuHai
1000137,珠海分行莲花山支行（零售）,,ZhuHai
1000123,珠海分行岭秀城支行（零售）,,ZhuHai
2000174,总行交易银行部国际业务部,,2000171
1000028,总行金融市场部,,ZongHang
2000313,深圳分行个人金融部田厦社区支行,,1000175
2000165,深圳分行个人金融部新安社区支行,,1000175
1000112,珠海分行明珠支行（零售）,,ZhuHai
2000202,总行金融市场部票据中心,,1000028
2000293,深圳分行个人金融部中心书城社区支行,,1000175
1000096,珠海分行柠溪支行（综合）,,ZhuHai
1000146,珠海分行平沙支行,,ZhuHai
2000303,佛山分行法律合规部,,FoShan
2000071,佛山分行分行营业部,,FoShan
2000059,佛山分行公司金融部,,FoShan
2000233,中山分行个人金融部中山坦洲万家社区支行,,2000029
2000290,深圳分行个人金融部紫薇社区支行,,1000175
2000367,中山分行公司金融部,,ZhongShan
2000038,中山分行行长室,,ZhongShan
2000294,总行金融市场部同业金融部,,1000028
2000201,总行金融市场部同业业务部,,1000028
1000029,总行金融市场部资金营运部,,1000028
2000245,惠州分行风险管理部,,HuiZhou
1000169,深圳分行公司金融部,,ShenZhen
2000206,总行金融市场部综合管理部,,1000028
2000286,佛山分行个人金融部祖庙社区支行,,2000060
2000243,惠州分行公司金融部,,HuiZhou
2000370,广州分行法律合规部,,GuangZhou
10001691,深圳分行公司银行部,,ShenZhen
2000307,东莞分行个人金融部塘厦镇迎宾路社区支行,,2000124
2000309,东莞分行个人金融部东城万达社区支行,,2000124
2000336,广州分行金融市场部广州分部,,GuangZhou
1000165,深圳分行行长室,,ShenZhen
2000266,总行能源金融业务拓展部,,ZongHang
2000399,深圳分行华润城支行,,ShenZhen
1000178,深圳分行机构业务部,,ShenZhen
1000108,珠海分行前山支行（零售）,,ZhuHai
1000226,珠海分行人力资源部,,ZhuHai
1000149,珠海分行三灶支行,,ZhuHai
1000043,总行人力资源部,,ZongHang
1000086,珠海分行唐家支行（综合）,,ZhuHai
1000166,深圳分行交易银行部,,ShenZhen
2000058,总行人力资源部应届生,,1000043
1000059,总行审计部,,ZongHang
2000151,总行投资银行部,,ZongHang
1000126,珠海分行湾仔支行（零售）,,ZhuHai
1000098,珠海分行五洲花城支行（零售）,,ZhuHai
2000300,总行投资银行部股权并购部,,2000151
2000299,总行投资银行部固定收益部,,2000151
2000298,总行投资银行部结构融资部,,2000151
1000122,珠海分行夏湾支行（零售）,,ZhuHai
2000302,总行投资银行部投行业务部,,2000151
2000400,总行网络银行部,,ZongHang
2000402,总行网络银行部ERP数据贷项目部,,2000400
1000094,珠海分行香山支行（零售）,,ZhuHai
1000079,珠海分行香洲支行（旗舰）,,ZhuHai
2000095,珠海分行小微金融部,,ZhuHai
2000331,广州分行行长室,,GuangZhou
2000403,总行网络银行部电子银行部,,2000400
2000401,总行网络银行部个人业务部,,2000400
2000427,珠海分行小微业务拓展二部,,ZhuHai
2000428,珠海分行小微业务拓展三部,,ZhuHai
2000412,深圳分行交易银行部国际业务部,,1000166
2000339,广州分行财务与运营部,,GuangZhou
20004021,总行网络银行部公司业务部,,2000400
2000381,深圳分行金融市场部深圳分部,,ShenZhen
2000236,深圳分行科技园支行,,ShenZhen
2000429,珠海分行小微业务拓展四部,,ZhuHai
2000426,珠海分行小微业务拓展一部,,ZhuHai
2000395,东莞分行厚街万达小微支行,,DongGuan
20004011,总行网络银行部华润通钱包及联合贷项目部,,2000400
2000404,总行网络银行部数据综合部,,2000400
2000255,惠州分行营业部,,HuiZhou
1000106,珠海分行新香洲支行（旗舰）,,ZhuHai
1000012,总行小微金融部,,ZongHang
1000014,总行小微金融部产品管理中心,,1000012
2000380,珠海分行信贷审批部,,ZhuHai
1000015,总行小微金融部风险管理中心,,1000012
20002931,深圳分行零售银行部中心书城社区支行,,ShenZhen
2000360,佛山分行个人金融部佛山兆阳社区支行,,2000060
2000393,惠州分行惠阳财富大厦小微支行,,HuiZhou
2000287,佛山分行个人金融部岭南大道社区支行,,2000060
2000023,深圳分行龙岗支行,,ShenZhen
2000093,总行小微金融部综合管理中心,,1000012
2000075,总行信贷审批部,,ZongHang
2000082,总行信贷审批部公司信贷审批部,,2000075
2000416,珠海分行信息科技部,,ZhuHai
2000382,深圳分行前海支行,,ShenZhen
2000425,惠州分行大亚湾星河半岛小微支行,,HuiZhou
1000183,深圳分行人力资源部,,ShenZhen
2000240,珠海分行业务拓展二部,,ZhuHai
1000053,总行信息科技部,,ZongHang
2000398,佛山分行大良小微支行,,FoShan
2000316,总行信息科技部规划与数据管理中心,,1000053
2000241,珠海分行业务拓展三部,,ZhuHai
20003161,总行信息科技部规划与项目管理中心,,1000053
2000394,佛山分行个人金融部陈村社区支行,,2000060
2000239,珠海分行业务拓展一部,,ZhuHai
1000097,珠海分行银桦支行（零售）,,ZhuHai
2000317,总行信息科技部项目研发中心,,1000053
2000270,中山分行小榄支行,,ZhongShan
1000056,总行信息科技部运维中心,,1000053
2000356,横琴分行公司业务二部,,2000304
1000227,珠海分行运营管理部,,ZhuHai
2000072,佛山分行行长室,,FoShan
2000106,深圳分行上市公司金融业务部,,ShenZhen
2000139,东莞分行行长室,,DongGuan
2000318,总行信息科技部综合管理部,,1000053
1000216,总行业务拓展三部（南京）,,ZongHang
2000214,总行业务拓展五部,,ZongHang
1000228,珠海分行运营管理部集中处理中心,,1000227
1000215,总行业务拓展一部（北京）,,ZongHang
1000230,珠海分行运营管理部结算管理室,,1000227
1000046,总行运营管理部,,ZongHang
2000387,总行运营管理部集中作业中心,,1000046
2000101,深圳分行泰然支行,,ShenZhen
2000306,横琴分行行长室,,2000304
2000351,横琴分行跨境业务部,,2000304
2000385,总行运营管理部业务管理部,,1000046
2000386,总行运营管理部运营风控部,,1000046
2000097,深圳分行小微金融部,,ShenZhen
2000246,惠州分行财务与运营部,,HuiZhou
2000194,总行资产管理部,,ZongHang
2000295,总行资产管理部产品研发部,,2000194
2000217,深圳分行信贷审批部,,ShenZhen
2000411,深圳分行信息科技部,,ShenZhen
2000108,深圳分行业务拓展七部,,ShenZhen
2000102,深圳分行业务拓展一部,,ShenZhen
1000229,珠海分行运营管理部现金中心,,1000227
1000184,深圳分行运营管理部,,ShenZhen
2000256,惠州分行行长室,,HuiZhou
1000135,珠海分行珠宾支行（零售）,,ZhuHai
2000022,深圳分行运营管理部集中处理中心,,1000184
2000353,横琴分行信息科技部,,2000304
1000082,珠海分行紫荆支行（零售）,,ZhuHai
2000388,总行资产管理部风险管理部,,2000194
2000369,惠州分行法律合规部,,HuiZhou
2000350,横琴分行公司金融部,,2000304
2000296,总行资产管理部投资管理部,,2000194
2000297,总行资产管理部项目融资部,,2000194
2000352,横琴分行综合管理部,,2000304
2000207,总行资产管理部资产托管部,,2000194
2000103,深圳分行支付创新业务部,,ShenZhen
1000182,深圳分行综合管理部,,ShenZhen
10001341,珠海管理部吉大支行（旗舰）,,ZhuHai
2000423,东莞分行松山湖小微支行,,DongGuan
